id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
563.0,2,3.685627262369032e-27,1.63240036161024e-05,0.9999836759963584
564.0,0,1.0,6.127007807631717e-20,1.8431544754856292e-44
565.0,1,2.3135402024682107e-22,1.0,2.3008791935878915e-49
566.0,0,1.0,5.387908001233284e-53,1.1090077557307523e-96
567.0,1,2.5570425844360677e-11,0.9999999999744205,1.3997084002282598e-33
568.0,0,0.9999869354477,1.3064552272602791e-05,3.160176983204217e-68
569.0,0,1.0,4.1459180855274167e-63,1.8397296068515933e-78
570.0,1,1.7056872816410685e-08,0.9990081556554911,0.000991827287623714
571.0,1,9.988088851679405e-05,0.9999001191115073,2.8952677979034793e-65
572.0,0,0.9999998209855381,1.7901448330967185e-07,8.528721566041564e-39
573.0,0,1.0,3.448989515107973e-23,1.0462483607201074e-60
574.0,2,3.4987668706399446e-22,6.610701417216787e-13,0.9999999999993463
575.0,1,2.0227336285028605e-33,1.0,8.751872842951954e-61
576.0,1,5.990638082440665e-14,0.9999999999999432,1.6231132738114843e-33
577.0,0,0.999984653131249,1.5346868749109155e-05,3.7627806701891446e-89
578.0,2,1.0555056638991458e-37,7.821407499616824e-11,0.9999999999217835
579.0,1,2.5801427039287283e-11,0.9999708505462254,2.9149427963302297e-05
580.0,2,3.3089605855117715e-19,1.7236038113236495e-08,0.9999999827639671
581.0,1,2.3553893281794866e-20,1.0,4.976398662204649e-24
582.0,1,8.119383547042452e-07,0.9999991569674337,3.109419952862689e-08
583.0,2,7.320499909425288e-13,0.04560955698396089,0.9543904430152993
584.0,2,1.8729322046947167e-19,1.6818574424348811e-13,0.9999999999998295
585.0,2,1.6552316007868665e-32,1.3808865782066295e-15,1.0
586.0,0,1.0,2.0871950278654314e-28,1.1371902684699972e-43
587.0,0,1.0,1.3433549130193991e-61,9.879389689409849e-113
588.0,2,2.256266862901496e-44,2.8519849443226838e-15,1.0
589.0,2,2.2778278177435724e-37,5.614266799172776e-11,0.9999999999438671
590.0,0,1.0,1.3156673005183174e-35,1.7898569386988657e-48
591.0,2,9.016654794815288e-29,4.7954533370331135e-68,1.0
592.0,0,0.9999999329252796,6.707469641287849e-08,3.8058656168326366e-22
593.0,1,3.7723720038088435e-15,1.0,7.627269019958579e-30
594.0,0,0.9999999901997967,9.800173757713191e-09,2.795853317092476e-14
595.0,0,0.9996977049724532,0.00030229502756428533,7.555711589051148e-77
596.0,0,1.0,2.8739726862550636e-68,4.4917819530711754e-94
597.0,2,9.328230255831488e-49,9.449869118319385e-28,1.0
598.0,1,7.156245871168469e-13,0.999999999999261,4.2426396396367715e-29
599.0,0,1.0,3.9340811510239785e-19,2.9960049393655125e-19
600.0,1,0.00011059900564366308,0.9998894009943329,1.5200999871070325e-76
601.0,1,6.325871126003167e-08,0.9999999367412349,4.8834836801533746e-14
602.0,1,9.805605651528428e-17,1.0,1.177658911606805e-75
603.0,1,1.239686659170765e-22,1.0,1.5627281154567398e-29
604.0,1,2.4552598207827343e-16,1.0,4.8518354453465724e-29
605.0,2,4.904669504456718e-27,1.2617401854580527e-10,0.9999999998738076
606.0,1,2.450061508312639e-15,0.9999999997195914,2.8040014791191446e-10
607.0,1,3.394612029505469e-07,0.9999996605387772,1.3360420475033223e-51
608.0,2,5.496733811282018e-32,1.7578742859099784e-15,1.0
609.0,2,6.799203831418226e-07,1.9279306564087455e-15,0.9999993200796136
